ticker,accounting_standard,accounting_standard_source_url,ownership_notes,ownership_source_url,retrieved_at,verified
MSFT,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT&type=10-K,,,2026-09-21,0
ORCL,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL&type=10-K,,,2026-09-21,0
ADBE,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE&type=10-K,,,2026-09-21,0
CRM,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM&type=10-K,,,2026-09-21,0
NOW,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOW&type=10-K,,,2026-09-21,0
INTU,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU&type=10-K,,,2026-09-21,0
DT,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DT&type=10-K,,,2026-09-21,0
DOCU,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOCU&type=10-K,,,2026-09-21,0
PEGA,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEGA&type=10-K,,,2026-09-21,0
CVLT,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVLT&type=10-K,,,2026-09-21,0
BOX,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BOX&type=10-K,,,2026-09-21,0
TWLO,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWLO&type=10-K,,,2026-09-21,0
XPO,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XPO&type=10-K,,,2026-09-21,0
GXO,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GXO&type=10-K,,,2026-09-21,0
RXO,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RXO&type=10-K,,,2026-09-21,0
SAIA,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SAIA&type=10-K,,,2026-09-21,0
LSTR,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LSTR&type=10-K,,,2026-09-21,0
HUBG,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUBG&type=10-K,,,2026-09-21,0
FWRD,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FWRD&type=10-K,,,2026-09-21,0
ARCB,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARCB&type=10-K,,,2026-09-21,0
WERN,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WERN&type=10-K,,,2026-09-21,0
KNX,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KNX&type=10-K,,,2026-09-21,0
CHRW,US GAAP,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW&type=10-K,,,2026-09-21,0
DSV.CO,IFRS,https://eur-lex.europa.eu/eli/reg/2002/1606/oj,"No majority shareholder per DSV investor relations: holders above 5% are Agility Public Warehousing (Kuwait), Ernst Goehner Stiftung (Switzerland; ~9.9% per a secondary source) and Capital Group (USA).",https://investor.dsv.com/shares-bonds/share-information,2026-09-21,0
