sample_id,sector,ticker,table,row_id,metric,period_or_date,db_value,currency,source_url,retrieved_at,how_to_check,filing_value,verified_ok(1/0),notes
11,logistics,DSV.CO,financials,148,capex,2022-12-31,1794000000.0,DKK,https://finance.yahoo.com/quote/DSV.CO,2026-09-21,"Find 'capex' in the annual report (IFRS consolidated statements) on the company's IR site for the period; EBITDA/net_debt/fcf are Yahoo-derived, so reconstruct from statements",,,
12,logistics,LSTR,valuations,30,enterprise_value,2026-09-21,5570522112.0,USD,https://finance.yahoo.com/quote/LSTR,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
13,logistics,CHRW,valuations,36,ev_ebitda,2026-09-21,21.118,USD,https://finance.yahoo.com/quote/CHRW,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
14,logistics,ARCB,valuations,33,enterprise_value,2026-09-21,3168617728.0,USD,https://finance.yahoo.com/quote/ARCB,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
15,logistics,WERN,signals,364,headcount,2025-12-31,14500.0,,https://finance.yahoo.com/quote/WERN,2026-09-21,Check the company's latest annual report / profile for employee count,,,
16,logistics,FWRD,valuations,32,ev_ebitda,2026-09-21,8.746,USD,https://finance.yahoo.com/quote/FWRD,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
17,logistics,XPO,valuations,26,ev_ebitda,2026-09-21,17.487,USD,https://finance.yahoo.com/quote/XPO,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
18,logistics,KNX,valuations,35,ev_ebitda,2026-09-21,12.724,USD,https://finance.yahoo.com/quote/KNX,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
19,logistics,WERN,valuations,34,enterprise_value,2026-09-21,3055053056.0,USD,https://finance.yahoo.com/quote/WERN,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
20,logistics,SAIA,valuations,29,ev_ebitda,2026-09-21,15.092,USD,https://finance.yahoo.com/quote/SAIA,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
21,tech,CVLT,signals,243,headcount,2026-03-31,3300.0,,https://finance.yahoo.com/quote/CVLT,2026-09-21,Check the company's latest annual report / profile for employee count,,,
22,tech,MSFT,signals,144,headcount,2026-06-30,223000.0,,https://finance.yahoo.com/quote/MSFT,2026-09-21,Check the company's latest annual report / profile for employee count,,,
23,tech,ORCL,signals,155,headcount,2026-05-31,141000.0,,https://finance.yahoo.com/quote/ORCL,2026-09-21,Check the company's latest annual report / profile for employee count,,,
24,tech,BOX,valuations,24,enterprise_value,2026-09-21,5234838016.0,USD,https://finance.yahoo.com/quote/BOX,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
25,tech,DOCU,valuations,21,pe,2026-09-21,42.115852,USD,https://finance.yahoo.com/quote/DOCU,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
26,tech,ADBE,valuations,16,ev_ebitda,2026-09-21,10.194,USD,https://finance.yahoo.com/quote/ADBE,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
27,tech,DT,valuations,20,ev_ebitda,2026-09-21,51.425,USD,https://finance.yahoo.com/quote/DT,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
28,tech,CRM,valuations,17,market_cap,2026-09-21,195808165888.0,USD,https://finance.yahoo.com/quote/CRM,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
29,tech,DT,signals,210,headcount,2026-03-31,5600.0,,https://finance.yahoo.com/quote/DT,2026-09-21,Check the company's latest annual report / profile for employee count,,,
30,tech,ORCL,valuations,15,market_cap,2026-09-21,446333681664.0,USD,https://finance.yahoo.com/quote/ORCL,2026-09-21,Market data snapshot: compare with the exchange/Yahoo quote page on/after the retrieval date,,,
